Data;Fechamento;Abertura;Mínimo;Máximo
Out-2016; 64924 ; 58370 ; 58366 ; 65054 
Nov-2016; 61906 ; 64921 ; 58322 ; 65291 
Dez-2016; 60227 ; 61906 ; 56828 ; 61935 
Jan-2017; 64670 ; 60227 ; 59370 ; 66593 
Fev-2017; 66662 ; 64686 ; 63739 ; 69487 
Mar-2017; 64984 ; 66661 ; 62496 ; 67397 
Abr-2017; 65403 ; 64989 ; 62826 ; 66211 
Mai-2017; 62711 ; 65404 ; 60314 ; 68791 
Jun-2017; 62899 ; 62711 ; 60543 ; 63636 
Jul-2017; 65920 ; 62900 ; 62035 ; 66047 
Ago-2017; 70835.05 ; 65925 ; 65925 ; 71505 
Set-2017; 74293.51 ; 70848.16 ; 70846.02 ; 76419.58 
Out-2017; 74308.49 ; 74294.53 ; 73845.22 ; 78024.09 
Nov-2017; 71970.99 ; 74310.26 ; 70824.91 ; 75199.28 
Dez-2017; 76402.08 ; 71955.27 ; 71356.4 ; 76436.88 
Jan-2018; 84912.7 ; 76402.6 ; 76402.6 ; 86212.82 
Fev-2018; 85353.6 ; 84912.87 ; 79690.09 ; 88317.83 
Mar-2018; 85365.56 ; 85337.16 ; 82889.44 ; 87333.24 
Abr-2018; 86115.5 ; 85364.83 ; 82761.97 ; 87178.65 
Mai-2018; 76753.61 ; 86110.76 ; 75336.89 ; 86678.21 
Jun-2018; 72762.52 ; 76779.38 ; 69068.77 ; 78892.02 
Jul-2018; 79220.44 ; 72762.51 ; 71934.7 ; 80588.66 
Ago-2018; 76677.53 ; 79212.99 ; 74875.8 ; 81792.1 
Set-2018; 79342.43 ; 76675.48 ; 74274.51 ; 80106.92 
Out-2018; 87423.55 ; 79350.43 ; 78090.72 ; 88377.16 
Nov-2018; 89504.03 ; 87427.56 ; 84030.36 ; 90245.54 
Dez-2018; 87887.27 ; 89511.16 ; 83891.74 ; 91242.22 
Jan-2019; 97393.75 ; 87887.26 ; 87535.87 ; 98405.21 
Fev-2019; 95584.35 ; 97395.48 ; 93424.29 ; 98588.63 
Mar-2019; 95414.56 ; 95584.35 ; 91584.26 ; 100438.87 
Abr-2019; 96353.33 ; 95422.9 ; 92337.54 ; 97610.25 
Mai-2019; 97030.32 ; 96339.31 ; 89408.93 ; 97992.31 
Jun-2019; 100967.2 ; 97035.78 ; 95685.84 ; 102617.31 
Jul-2019; 101812.13 ; 100973.48 ; 100072.77 ; 106650.12 
