YEAR;REVENUE;REV_GROWTH%;REV_GROWTH$;EBIT;EBIT_MRGN;TAXES;TAXES/EBIT;D&A;D&A/REV;CAPEX;CAPEX/REV;VAR_WORKING_CAPITAL;VWC/REV_GROWTH$
2018;4828;0.303;1122;370;0.077;86;0.232;279;0.058;185;0.038;61;0.054
2019;5164;0.007;336;357;0.069;60;0.168;326;0.063;271;0.052;108;0.321
2020;4257;-0,176;-907;217;0.051;-48;-0,221;350;0.082;137;0.032;123;-0,136
